latent_dim,beta,n_active_mean,active_ratio_mean,kl_loss_mean,recon_loss_mean,n_seeds
4,0.1,0.0,0.0,0.002252944434682528,0.02628118855257829,3
4,0.5,0.0,0.0,0.0008455329031373063,0.02629694901406765,3
4,1.0,0.0,0.0,0.0007551395101472735,0.026301146174470585,3
4,2.0,0.0,0.0,0.0007261521920251349,0.026303608591357868,3
4,4.0,0.0,0.0,0.0007176871101061503,0.026304932311177254,3
8,0.1,0.0,0.0,0.002839788794517517,0.028272497778137524,3
8,0.5,0.0,0.0,0.0014116531237959862,0.028320100779334705,3
8,1.0,0.0,0.0,0.0013281835320716102,0.028328244884808857,3
8,2.0,0.0,0.0,0.0013056635313356917,0.028332515930136044,3
8,4.0,0.0,0.0,0.0012998085003346205,0.028334710747003555,3
16,0.1,0.0,0.0,0.0038442648171136775,0.029906317591667175,3
16,0.5,0.0,0.0,0.0025060829551269612,0.02995407208800316,3
16,1.0,0.0,0.0,0.0024436727010955415,0.029960666472713154,3
16,2.0,0.0,0.0,0.0024275322599957385,0.029964014887809753,3
16,4.0,0.0,0.0,0.002423462380344669,0.02996570182343324,3
32,0.1,0.0,0.0,0.0056572410588463145,0.03132483052710692,3
32,0.5,0.0,0.0,0.004552077812453111,0.03135730450352033,3
32,1.0,0.0,0.0,0.0045023150742053986,0.03136158362030983,3
32,2.0,0.0,0.0,0.004488592967391014,0.03136374056339264,3
32,4.0,0.0,0.0,0.00448426961277922,0.03136475756764412,3
64,0.1,0.0,0.0,0.009025250561535358,0.03313032661875089,3
64,0.5,0.0,0.0,0.008134919684380293,0.033157140016555786,3
64,1.0,0.0,0.0,0.008102582146724066,0.033160762240489326,3
64,2.0,0.0,0.0,0.008092343341559172,0.033162457247575126,3
64,4.0,0.0,0.0,0.00808821339160204,0.03316331406434377,3
