latent_dim,beta,pair_id,sts_similarity,cos_ab,cos_start,cos_end,model_kl,path_len_lat,curv_mean_lat,path_len_emb,curv_mean_emb,path_ratio,curv_ratio_mean,path_ratio_capped,curv_ratio_mean_capped
16,1.0,1,0.0,0.6333400011062622,0.7153866291046143,0.6229496598243713,0.048385247588157654,6.666680634021759,1.1520896752675374,0.8846430107951164,0.008808340463373397,7.536012326633036,130.79531610501724,7.536012326633036,130.79531610501724
16,1.0,2,1.399999976158142,0.6501567363739014,0.7887417078018188,0.5073263645172119,0.048385247588157654,6.466280996799469,1.1218627161449857,0.8627353236079216,0.008331355845762623,7.495092434325933,134.65547948183868,7.495092434325933,134.65547948183868
16,1.0,3,0.0,0.6555956602096558,0.7283955216407776,0.5722402930259705,0.048385247588157654,6.478809118270874,1.124228040377299,0.8555617332458496,0.008178779234488806,7.572579355193248,137.45670449650743,7.572579355193248,137.45670449650743
32,0.1,1,0.0,0.6763472557067871,0.7358531355857849,0.592178225517273,0.030490024015307426,7.474795699119568,1.312068263689677,0.8277659192681313,0.007604195736348629,9.0300838982697,172.54530382718738,9.0300838982697,172.54530382718738
32,0.1,2,0.0,0.7079331874847412,0.6987640857696533,0.5519136190414429,0.030490024015307426,7.543369770050049,1.3088586330413818,0.7840267196297646,0.006751968887531095,9.621317209204555,193.8484395949246,9.621317209204555,193.8484395949246
32,0.1,3,0.0,0.7981298565864563,0.6846383213996887,0.7862913012504578,0.030490024015307426,7.449470281600952,1.2935276958677504,0.6464985348284245,0.004458948607660002,11.522795304676107,290.0970183073217,11.522795304676107,290.0970183073217
32,0.1,1,0.0,0.6763472557067871,0.7641746997833252,0.5289248824119568,0.030490024015307426,7.6844218373298645,1.3355405728022258,0.8277659192681313,0.007604195736348629,9.283327156213488,175.63206144447875,9.283327156213488,175.63206144447875
32,0.1,2,0.0,0.7079331874847412,0.7185801267623901,0.5680206418037415,0.030490024015307426,7.464134335517883,1.2845589982138739,0.7840267196297646,0.006751968887531095,9.520255048249656,190.24954344592393,9.520255048249656,190.24954344592393
32,0.1,3,0.0,0.7981298565864563,0.6646754741668701,0.7809243202209473,0.030490024015307426,7.522297382354736,1.3114880853229098,0.6464985348284245,0.004458948607660002,11.635443820999678,294.12496099863364,11.635443820999678,294.12496099863364
32,0.1,1,0.0,0.6763472557067871,0.7444615960121155,0.5450806617736816,0.030490024015307426,7.462985455989838,1.271381100018819,0.8277659192681313,0.007604195736348629,9.015816286068207,167.1946835799507,9.015816286068207,167.1946835799507
32,0.1,2,0.0,0.7079331874847412,0.7285689115524292,0.5080288648605347,0.030490024015307426,7.4228628277778625,1.29588962925805,0.7840267196297646,0.006751968887531095,9.467614613036542,191.92766596587518,9.467614613036542,191.92766596587518
32,0.1,3,0.0,0.7981298565864563,0.6706002950668335,0.7877742052078247,0.030490024015307426,7.472420573234558,1.3108578125635784,0.6464985348284245,0.004458948607660002,11.558294676132064,293.9836109148384,11.558294676132064,293.9836109148384
